Country,Life expectancy,GDP per capita
Afghanistan,64.833,2065.03623501599
Albania,78.573,13671.4884222978
Algeria,76.88,11510.5570882585
Angola,61.147,6670.33145836633
Antigua and Barbuda,77.016,21548.7250080262
Argentina,76.667,22063.9043717551
Armenia,75.087,13653.7633812861
Aruba,76.01,38897.122666275
Australia,83.436,49455.5385080697
Austria,81.544,55833.3156857561
Azerbaijan,73.005,14439.3014032972
Bahamas,73.918,37100.3629626189
Bahrain,77.292,45060.4237448845
Bangladesh,72.591,4753.72659686814
Barbados,79.19,15639.0478442375
Belarus,74.791,19283.1171477055
Belgium,81.628,51742.7263830791
Belize,74.623,7251.9213512161
Benin,61.771,3287.30953781986
Bermuda,82.593,81804.2656772398
Bhutan,71.777,11832.1582535521
Bolivia,71.513,8724.47418740562
Bosnia and Herzegovina,77.401,14896.7900391155
Botswana,69.592,17776.8083134036
Brazil,75.881,14763.8716968734
Brunei,75.86,62098.0113423415
Bulgaria,75.046,23191.5745846967
Burkina Faso,61.577,2178.3228791324
Burundi,61.584,751.664152760383
Cambodia,69.823,4388.80090863468
Cameroon,59.292,3642.27627296724
Canada,82.434,49006.7431073981
Cape Verde,72.981,7171.8264247567
Cayman Islands,83.924,73633.7016276696
Central African Republic,53.283,945.142042928865
Chad,54.239,1579.62610063652
Chile,80.181,24967.5802124165
China,76.912,16092.300767051
Colombia,77.287,14585.3024908488
Comoros,64.321,3059.49172597369
Congo,64.57,3842.79885571048
Costa Rica,80.279,20805.343678104
Cote d'Ivoire,57.783,5212.5540214586
Croatia,78.488,28753.5162699607
Curacao,78.88,24494.3426149147
Cyprus,80.982,40226.8094909879
Czechia,79.376,40696.3104860197
Democratic Republic of Congo,60.681,1097.9488401154
Denmark,80.898,57678.0988930692
Djibouti,67.112,5534.76617152744
Dominica,75,11905.8705154398
Dominican Republic,74.081,18412.8999875519
Ecuador,77.01,11370.603299072
Egypt,71.99,11763.2532849551
El Salvador,73.317,8796.06206368967
Equatorial Guinea,58.735,18502.563964039
Estonia,78.745,36830.0747898819
Eswatini,60.194,8621.8040669514
Ethiopia,66.597,2221.40466452958
Fiji,67.444,13684.3608160228
Finland,81.908,48689.2341509211
France,82.659,45834.1669122703
Gabon,66.467,14950.0770784889
Gambia,62.05,2222.87959013357
Georgia,73.767,14989.2581602038
Germany,81.326,53639.26072156
Ghana,64.074,5396.86608780051
Greece,82.239,29723.2219580446
Grenada,72.397,17050.2930413479
Guatemala,74.302,8653.30819508205
Guinea,61.602,2567.0339869651
Guinea-Bissau,58.322,1939.2895096348
Guyana,69.906,13082.2026195835
Haiti,64.001,2905.43856536495
Honduras,75.27,5736.18163330613
Hong Kong,84.857,59586.2040065092
Hungary,76.875,32553.5236997988
Iceland,82.993,56913.9568467085
India,69.656,6713.93221110733
Indonesia,71.716,11811.9755589147
Iran,76.677,12389.2233504388
Iraq,70.604,10565.2474296597
Ireland,82.305,87786.1569266174
Israel,82.972,40007.3191584114
Italy,83.512,42662.5223699096
Jamaica,74.475,9777.00568620683
Japan,84.629,41380.0935773113
Jordan,74.526,10071.379888314
Kazakhstan,73.597,26351.8044418782
Kenya,66.699,4329.87188383259
Kiribati,68.369,2270.10860723388
Kuwait,75.489,49853.7362805684
Kyrgyzstan,71.45,5258.36669601039
Laos,67.923,7886.65281419668
Latvia,75.292,30858.750074744
Lebanon,78.93,14551.5937122886
Lesotho,54.331,2583.92437114575
Liberia,64.104,1427.8190899409
Libya,72.913,15174.1625153905
Lithuania,75.933,37062.5867515036
Luxembourg,82.25,113940.23744151
Macao,84.244,127161.499444924
Madagascar,67.041,1618.53231427249
Malawi,64.263,1514.66267654193
Malaysia,76.156,28364.4763211606
Maldives,78.921,19531.0425624222
Mali,59.306,2321.91717305646
Malta,82.53,43950.5880527847
Marshall Islands,73.696,4029.08632919678
Mauritania,64.925,5197.0722508281
Mauritius,74.991,22870.2862495308
Mexico,75.054,19701.337669842
Micronesia (country),67.883,3466.41329281782
Moldova,71.901,13022.0046061019
Mongolia,69.87,12316.7913725436
Montenegro,76.884,21533.949235748
Morocco,76.68,7537.48527234118
Mozambique,60.854,1281.50604143547
Myanmar,67.134,5082.50316102148
Namibia,63.708,9845.21306790198
Nauru,59.962,13527.411941066
Nepal,70.778,3952.76034914913
Netherlands,82.283,56629.110793233
New Zealand,82.288,42877.9429107086
Nicaragua,74.485,5451.7078347038
Niger,62.42,1224.51026155853
Nigeria,54.687,5135.49946875343
North Macedonia,75.797,16600.1436488516
Norway,82.404,64452.812617024
Oman,77.861,27294.5729762764
Pakistan,67.273,4690.48477660926
Palau,73.701,17572.6226006793
Palestine,74.053,6245.44869712345
Panama,78.506,31432.1132703975
Papua New Guinea,64.501,4349.80804806069
Paraguay,74.254,12615.5286456565
Peru,76.736,12853.6920747721
Philippines,71.231,8914.72379820449
Poland,78.73,33120.517844588
Portugal,82.049,34879.7059746537
Puerto Rico,80.104,34804.9347111748
Qatar,80.227,90043.7990029688
Romania,76.054,29857.6464700842
Russia,72.584,27210.5459977867
Rwanda,69.024,2227.51703252759
Saint Kitts and Nevis,76.226,26235.5545488063
Saint Lucia,76.203,15448.34490734
Saint Vincent and the Grenadines,72.534,12484.72871235
Samoa,73.321,6516.52067751809
San Marino,84.972,60847.1067610929
Sao Tome and Principe,70.385,4005.3416234
Saudi Arabia,75.133,46962.147688222
Senegal,67.941,3361.46154773707
Serbia,76.001,18292.175030713
Seychelles,73.402,27521.1667744956
Sierra Leone,54.696,1719.78974431978
Singapore,83.62,98411.5820616053
Sint Maarten (Dutch part),78.794,35342.1066072069
Slovakia,77.542,31871.3349174843
Slovenia,81.324,38905.5478569196
Solomon Islands,72.996,2660.97969650967
Somalia,57.397,866.762289749145
South Africa,64.131,12481.8135074777
South Korea,83.033,42719.0002563009
Spain,83.565,40805.9169678996
Sri Lanka,76.978,13070.1256448919
Sudan,65.311,4185.60063543936
Suriname,71.682,19036.7450382918
Sweden,82.797,52531.1743768398
Switzerland,83.779,70920.3247255393
Tajikistan,71.097,3581.41140185513
Tanzania,65.456,2660.42043252302
Thailand,77.15,18453.4698218155
Timor,69.495,3552.59699769392
Togo,61.042,2121.89991847011
Tonga,70.907,6378.1283460138
Trinidad and Tobago,73.507,25827.8850703571
Tunisia,76.699,10755.5726608392
Turkey,77.691,28199.0515906708
Turkmenistan,68.191,15538.4199701316
Turks and Caicos Islands,80.222,29251.0777284406
Tuvalu,67.567,4274.76316552592
Uganda,63.368,2187.46522731754
Ukraine,72.065,12808.7989991273
United Arab Emirates,77.972,67119.153244137
United Kingdom,81.321,46406.4617483484
United States,78.862,62630.8732765742
Uruguay,77.911,23032.7340435597
Uzbekistan,71.725,7014.32469877717
Vanuatu,70.474,3117.67883228873
Vietnam,75.4,8041.17838409676
World,72.584,16915.2878461495
Zambia,63.886,3470.44802371756
Zimbabwe,61.49,3027.65603782166
